year,background,age,sex,population
2002,Swedish,0,men,43441
2002,Swedish,1,men,41340
2002,Swedish,2,men,40710
2002,Swedish,3,men,39447
2002,Swedish,4,men,39901
2002,Swedish,5,men,40218
2002,Swedish,6,men,42064
2002,Swedish,7,men,45895
2002,Swedish,8,men,49888
2002,Swedish,9,men,52343
2002,Swedish,10,men,55869
2002,Swedish,11,men,57090
2002,Swedish,12,men,57398
2002,Swedish,13,men,54232
2002,Swedish,14,men,52562
2002,Swedish,15,men,48757
2002,Swedish,16,men,47755
2002,Swedish,17,men,46286
2002,Swedish,18,men,44092
2002,Swedish,19,men,43250
2002,Swedish,20,men,43489
2002,Swedish,21,men,43377
2002,Swedish,22,men,44888
2002,Swedish,23,men,44237
2002,Swedish,24,men,42853
2002,Swedish,25,men,44612
2002,Swedish,26,men,45301
2002,Swedish,27,men,47771
2002,Swedish,28,men,50875
2002,Swedish,29,men,50351
2002,Swedish,30,men,51246
2002,Swedish,31,men,51709
2002,Swedish,32,men,49595
2002,Swedish,33,men,49318
2002,Swedish,34,men,51654
2002,Swedish,35,men,55685
2002,Swedish,36,men,56448
2002,Swedish,37,men,56411
2002,Swedish,38,men,56130
2002,Swedish,39,men,51991
2002,Swedish,40,men,49030
2002,Swedish,41,men,47835
2002,Swedish,42,men,46513
2002,Swedish,43,men,48148
2002,Swedish,44,men,48238
2002,Swedish,45,men,48475
2002,Swedish,46,men,49726
2002,Swedish,47,men,48974
2002,Swedish,48,men,47916
2002,Swedish,49,men,50162
2002,Swedish,50,men,49943
2002,Swedish,51,men,49714
2002,Swedish,52,men,52186
2002,Swedish,53,men,54352
2002,Swedish,54,men,56284
2002,Swedish,55,men,57073
2002,Swedish,56,men,58393
2002,Swedish,57,men,58928
2002,Swedish,58,men,58093
2002,Swedish,59,men,53543
2002,Swedish,60,men,48705
2002,Swedish,61,men,41595
2002,Swedish,62,men,39463
2002,Swedish,63,men,39352
2002,Swedish,64,men,37393
2002,Swedish,65,men,35319
2002,Swedish,66,men,33915
2002,Swedish,67,men,32245
2002,Swedish,68,men,30614
2002,Swedish,69,men,29919
2002,Swedish,70,men,30552
2002,Swedish,71,men,29932
2002,Swedish,72,men,29481
2002,Swedish,73,men,28048
2002,Swedish,74,men,28258
2002,Swedish,75,men,26759
2002,Swedish,76,men,26404
2002,Swedish,77,men,26035
2002,Swedish,78,men,24785
2002,Swedish,79,men,24240
2002,Swedish,80,men,22355
2002,Swedish,81,men,22275
2002,Swedish,82,men,21563
2002,Swedish,83,men,16038
2002,Swedish,84,men,14122
2002,Swedish,85,men,12480
2002,Swedish,86,men,10772
2002,Swedish,87,men,8707
2002,Swedish,88,men,7579
2002,Swedish,89,men,6117
2002,Swedish,90,men,4734
2002,Swedish,91,men,3747
2002,Swedish,92,men,2739
2002,Swedish,93,men,2022
2002,Swedish,94,men,1297
2002,Swedish,95,men,954
2002,Swedish,96,men,601
2002,Swedish,97,men,341
2002,Swedish,98,men,197
2002,Swedish,99,men,132
2002,Swedish,100+,men,147
2002,Swedish,0,women,41153
2002,Swedish,1,women,38744
2002,Swedish,2,women,38265
2002,Swedish,3,women,37365
2002,Swedish,4,women,37381
2002,Swedish,5,women,37962
2002,Swedish,6,women,40301
2002,Swedish,7,women,43417
2002,Swedish,8,women,47882
2002,Swedish,9,women,50369
2002,Swedish,10,women,52793
2002,Swedish,11,women,53858
2002,Swedish,12,women,54644
2002,Swedish,13,women,51218
2002,Swedish,14,women,49497
2002,Swedish,15,women,46625
2002,Swedish,16,women,45413
2002,Swedish,17,women,43620
2002,Swedish,18,women,41654
2002,Swedish,19,women,40490
2002,Swedish,20,women,40910
2002,Swedish,21,women,41435
2002,Swedish,22,women,42415
2002,Swedish,23,women,41983
2002,Swedish,24,women,40619
2002,Swedish,25,women,41545
2002,Swedish,26,women,42666
2002,Swedish,27,women,45151
2002,Swedish,28,women,47905
2002,Swedish,29,women,47585
2002,Swedish,30,women,48129
2002,Swedish,31,women,48579
2002,Swedish,32,women,46945
2002,Swedish,33,women,46096
2002,Swedish,34,women,49125
2002,Swedish,35,women,52337
2002,Swedish,36,women,53286
2002,Swedish,37,women,53508
2002,Swedish,38,women,53871
2002,Swedish,39,women,49110
2002,Swedish,40,women,46955
2002,Swedish,41,women,45630
2002,Swedish,42,women,44934
