year,month,year_month,is_year_total,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,granted_count
2021,1,2021-01,False,Anknytning,Family ties,Adoption,Adoption,7
2021,2,2021-02,False,Anknytning,Family ties,Adoption,Adoption,3
2021,3,2021-03,False,Anknytning,Family ties,Adoption,Adoption,5
2021,4,2021-04,False,Anknytning,Family ties,Adoption,Adoption,2
2021,5,2021-05,False,Anknytning,Family ties,Adoption,Adoption,2
2021,6,2021-06,False,Anknytning,Family ties,Adoption,Adoption,0
2021,7,2021-07,False,Anknytning,Family ties,Adoption,Adoption,1
2021,8,2021-08,False,Anknytning,Family ties,Adoption,Adoption,0
2021,9,2021-09,False,Anknytning,Family ties,Adoption,Adoption,3
2021,10,2021-10,False,Anknytning,Family ties,Adoption,Adoption,5
2021,11,2021-11,False,Anknytning,Family ties,Adoption,Adoption,4
2021,12,2021-12,False,Anknytning,Family ties,Adoption,Adoption,0
2021,,2021,True,Anknytning,Family ties,Adoption,Adoption,32
2021,1,2021-01,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,276
2021,2,2021-02,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,303
2021,3,2021-03,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,370
2021,4,2021-04,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,342
2021,5,2021-05,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,384
2021,6,2021-06,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,363
2021,7,2021-07,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,200
2021,8,2021-08,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,199
2021,9,2021-09,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,388
2021,10,2021-10,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,422
2021,11,2021-11,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,401
2021,12,2021-12,False,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,494
2021,,2021,True,Anknytning,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,4142
2021,1,2021-01,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1850
2021,2,2021-02,False,Anknytning,Family ties,Anhörig till övriga,Family of other,2224
2021,3,2021-03,False,Anknytning,Family ties,Anhörig till övriga,Family of other,2333
2021,4,2021-04,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1814
2021,5,2021-05,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1842
2021,6,2021-06,False,Anknytning,Family ties,Anhörig till övriga,Family of other,2162
2021,7,2021-07,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1431
2021,8,2021-08,False,Anknytning,Family ties,Anhörig till övriga,Family of other,620
2021,9,2021-09,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1112
2021,10,2021-10,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1427
2021,11,2021-11,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1698
2021,12,2021-12,False,Anknytning,Family ties,Anhörig till övriga,Family of other,1445
2021,,2021,True,Anknytning,Family ties,Anhörig till övriga,Family of other,19958
2021,1,2021-01,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",0
2021,2,2021-02,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",0
2021,3,2021-03,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",0
2021,4,2021-04,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",0
2021,5,2021-05,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",0
2021,6,2021-06,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",0
2021,7,2021-07,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",1
2021,8,2021-08,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",0
2021,9,2021-09,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",10
2021,10,2021-10,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",13
2021,11,2021-11,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",23
2021,12,2021-12,False,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",10
2021,,2021,True,Anknytning,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3),"Exceptional grounds, family ties",57
2021,1,2021-01,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,938
2021,2,2021-02,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,863
2021,3,2021-03,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1097
2021,4,2021-04,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1047
2021,5,2021-05,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1120
2021,6,2021-06,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1239
2021,7,2021-07,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1075
2021,8,2021-08,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1157
2021,9,2021-09,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1446
2021,10,2021-10,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1349
2021,11,2021-11,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1442
2021,12,2021-12,False,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,1391
2021,,2021,True,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,14164
2021,1,2021-01,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1067
2021,2,2021-02,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1585
2021,3,2021-03,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1612
2021,4,2021-04,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1325
2021,5,2021-05,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1365
2021,6,2021-06,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),5706
2021,7,2021-07,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),2138
2021,8,2021-08,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1251
2021,9,2021-09,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1423
2021,10,2021-10,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1377
2021,11,2021-11,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1548
2021,12,2021-12,False,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),1410
2021,,2021,True,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),21807
2021,1,2021-01,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,14
2021,2,2021-02,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,19
2021,3,2021-03,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,12
2021,4,2021-04,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,9
2021,5,2021-05,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,15
2021,6,2021-06,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,11
2021,7,2021-07,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,3
2021,8,2021-08,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,4
2021,9,2021-09,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,9
2021,10,2021-10,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,15
2021,11,2021-11,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,17
2021,12,2021-12,False,Arbetsmarknad,Labour market,Egen företagare,Self-employed,10
2021,,2021,True,Arbetsmarknad,Labour market,Egen företagare,Self-employed,138
2021,1,2021-01,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),45
2021,2,2021-02,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),71
2021,3,2021-03,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),73
2021,4,2021-04,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),103
2021,5,2021-05,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),124
2021,6,2021-06,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),98
2021,7,2021-07,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),99
2021,8,2021-08,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),119
2021,9,2021-09,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),153
2021,10,2021-10,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),89
2021,11,2021-11,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),100
2021,12,2021-12,False,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),99
2021,,2021,True,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),1173
2021,1,2021-01,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",116
2021,2,2021-02,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",108
2021,3,2021-03,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",100
2021,4,2021-04,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",115
2021,5,2021-05,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",178
2021,6,2021-06,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",142
2021,7,2021-07,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",124
2021,8,2021-08,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",69
2021,9,2021-09,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",121
2021,10,2021-10,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",161
2021,11,2021-11,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",65
2021,12,2021-12,False,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",119
2021,,2021,True,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",1418
2021,1,2021-01,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,59
2021,2,2021-02,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,47
2021,3,2021-03,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,38
2021,4,2021-04,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,22
2021,5,2021-05,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,13
2021,6,2021-06,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,29
2021,7,2021-07,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,91
2021,8,2021-08,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,123
2021,9,2021-09,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,65
2021,10,2021-10,False,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,26
