year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,gender_sv,gender_en,granted_count
2022,Anknytning*,Family ties,Adoption,Adoption,Kvinna,Woman,16
2022,Anknytning*,Family ties,Adoption,Adoption,Man,Man,9
2022,Anknytning*,Family ties,Adoption,Adoption,Totalt,Total,25
2022,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Kvinna,Woman,1685
2022,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Man,Man,919
2022,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Totalt,Total,2604
2022,Anknytning*,Family ties,Anhörig till övriga,Family of other,Kvinna,Woman,11641
2022,Anknytning*,Family ties,Anhörig till övriga,Family of other,Man,Man,6517
2022,Anknytning*,Family ties,Anhörig till övriga,Family of other,Totalt,Total,18158
2022,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Kvinna,Woman,106
2022,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Man,Man,97
2022,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Totalt,Total,203
2022,Anknytning*,Family ties,Totalt,Total,Kvinna,Woman,13448
2022,Anknytning*,Family ties,Totalt,Total,Man,Man,7542
2022,Anknytning*,Family ties,Totalt,Total,Totalt,Total,20990
2022,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Kvinna,Woman,8991
2022,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Man,Man,5126
2022,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Totalt,Total,14117
2022,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Kvinna,Woman,5191
2022,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Man,Man,18926
2022,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Totalt,Total,24117
