year,permit_basis_sv,permit_basis_en,sub_category_sv,sub_category_en,person_type_sv,person_type_en,granted_count
2022,Anknytning*,Family ties,Adoption,Adoption,Vuxen,Adult,1
2022,Anknytning*,Family ties,Adoption,Adoption,Barn i familj,Child in family,24
2022,Anknytning*,Family ties,Adoption,Adoption,Ensamkommande barn,Unaccompanied minor,0
2022,Anknytning*,Family ties,Adoption,Adoption,Totalt,Total,25
2022,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Vuxen,Adult,1332
2022,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Barn i familj,Child in family,1271
2022,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Ensamkommande barn,Unaccompanied minor,1
2022,Anknytning*,Family ties,Anhörig till flykting-/asylgrund,Family of refugee/asylum recipient,Totalt,Total,2604
2022,Anknytning*,Family ties,Anhörig till övriga,Family of other,Vuxen,Adult,11102
2022,Anknytning*,Family ties,Anhörig till övriga,Family of other,Barn i familj,Child in family,7053
2022,Anknytning*,Family ties,Anhörig till övriga,Family of other,Ensamkommande barn,Unaccompanied minor,3
2022,Anknytning*,Family ties,Anhörig till övriga,Family of other,Totalt,Total,18158
2022,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Vuxen,Adult,24
2022,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Barn i familj,Child in family,179
2022,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Ensamkommande barn,Unaccompanied minor,0
2022,Anknytning*,Family ties,Synnerliga skäl anknytning (5 KAP 3a § 3 st 1 och 3 UTLL),"Exceptional grounds, family ties",Totalt,Total,203
2022,Anknytning*,Family ties,Totalt,Total,Vuxen,Adult,12459
2022,Anknytning*,Family ties,Totalt,Total,Barn i familj,Child in family,8527
2022,Anknytning*,Family ties,Totalt,Total,Ensamkommande barn,Unaccompanied minor,4
2022,Anknytning*,Family ties,Totalt,Total,Totalt,Total,20990
2022,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Vuxen,Adult,7097
2022,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Barn i familj,Child in family,7013
2022,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Ensamkommande barn,Unaccompanied minor,7
2022,Arbetsmarknad,Labour market,"Anhörig, arbetsmarknad",Family of labour migrant,Totalt,Total,14117
2022,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Vuxen,Adult,24110
2022,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Barn i familj,Child in family,7
2022,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Ensamkommande barn,Unaccompanied minor,0
2022,Arbetsmarknad,Labour market,Arbetstagare,Employee (work permit),Totalt,Total,24117
2022,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Vuxen,Adult,160
2022,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Barn i familj,Child in family,0
2022,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Ensamkommande barn,Unaccompanied minor,0
2022,Arbetsmarknad,Labour market,Egen företagare,Self-employed,Totalt,Total,160
2022,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Vuxen,Adult,1121
2022,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Barn i familj,Child in family,0
2022,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Ensamkommande barn,Unaccompanied minor,0
2022,Arbetsmarknad,Labour market,Forskare (alla),Researcher (all),Totalt,Total,1121
2022,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Vuxen,Adult,1297
2022,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Barn i familj,Child in family,1
2022,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Ensamkommande barn,Unaccompanied minor,0
2022,Arbetsmarknad,Labour market,"Internationellt utbyte (Artist,Aupair,Praktikant,Ungdomsutbyte)","International exchange (artist, au pair, intern, youth)",Totalt,Total,1298
2022,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Vuxen,Adult,520
2022,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Barn i familj,Child in family,0
2022,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Ensamkommande barn,Unaccompanied minor,0
2022,Arbetsmarknad,Labour market,Professionell idrottsutövare/tränare,Professional athlete/coach,Totalt,Total,520
2022,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Vuxen,Adult,48
2022,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Barn i familj,Child in family,0
2022,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Ensamkommande barn,Unaccompanied minor,0
2022,Arbetsmarknad,Labour market,Söka arbete eller starta verksamhet,Job-seeker / start business,Totalt,Total,48
2022,Arbetsmarknad,Labour market,Volontär,Volunteer,Vuxen,Adult,15
2022,Arbetsmarknad,Labour market,Volontär,Volunteer,Barn i familj,Child in family,0
