year,month,year_month,is_year_total,permit_type_sv,permit_type_en,citizenship_sv,citizenship_en,granted_count
2021,,2021,True,förstagångs,first-time,AFGHANISTAN,Afghanistan,89
2021,,2021,True,förstagångs,first-time,ALBANIEN,Albania,192
2021,,2021,True,förstagångs,first-time,ALGERIET,Algeria,10
2021,,2021,True,förstagångs,first-time,ARGENTINA,Argentina,116
2021,,2021,True,förstagångs,first-time,ARMENIEN,Armenia,28
2021,,2021,True,förstagångs,first-time,AUSTRALIEN,Australia,75
2021,,2021,True,förstagångs,first-time,AZERBAJDZJAN,Azerbaijan,56
2021,,2021,True,förstagångs,first-time,BANGLADESH,Bangladesh,253
2021,,2021,True,förstagångs,first-time,BARBADOS,Barbados,1
2021,,2021,True,förstagångs,first-time,BELARUS,Belarus,121
2021,,2021,True,förstagångs,first-time,BELIZE,Belize,1
2021,,2021,True,förstagångs,first-time,BOLIVIA,Bolivia,15
2021,,2021,True,förstagångs,first-time,BOSNIEN OCH HERCEGOVINA,Bosnia and Herzegovina,261
2021,,2021,True,förstagångs,first-time,BRASILIEN,Brazil,483
2021,,2021,True,förstagångs,first-time,BURKINA FASO,Burkina Faso,1
2021,,2021,True,förstagångs,first-time,BURUNDI,Burundi,2
2021,,2021,True,förstagångs,first-time,CHILE,Chile,55
2021,,2021,True,förstagångs,first-time,COLOMBIA,Colombia,76
2021,,2021,True,förstagångs,first-time,COSTA RICA,Costa Rica,5
2021,,2021,True,förstagångs,first-time,DEM REPUBLIKEN KONGO,DR Congo,3
2021,,2021,True,förstagångs,first-time,DJIBOUTI,Djibouti,1
2021,,2021,True,förstagångs,first-time,DOMINIKANSKA REPUBLIKEN,Dominican Republic,1
2021,,2021,True,förstagångs,first-time,ECUADOR,Ecuador,11
2021,,2021,True,förstagångs,first-time,EGYPTEN,Egypt,201
2021,,2021,True,förstagångs,first-time,EKVATORIALGUINEA,Equatorial Guinea,1
2021,,2021,True,förstagångs,first-time,EL SALVADOR,El Salvador,21
2021,,2021,True,förstagångs,first-time,ERITREA,Eritrea,1
2021,,2021,True,förstagångs,first-time,ESWATINI,Eswatini,1
2021,,2021,True,förstagångs,first-time,ETIOPIEN,Ethiopia,31
2021,,2021,True,förstagångs,first-time,FILIPPINERNA,Philippines,126
2021,,2021,True,förstagångs,first-time,FÖRENADE ARABEMIRATEN,United Arab Emirates,4
2021,,2021,True,förstagångs,first-time,GAMBIA,Gambia,7
2021,,2021,True,förstagångs,first-time,GEORGIEN,Georgia,86
2021,,2021,True,förstagångs,first-time,GHANA,Ghana,19
2021,,2021,True,förstagångs,first-time,GUATEMALA,Guatemala,6
2021,,2021,True,förstagångs,first-time,HAITI,Haiti,1
2021,,2021,True,förstagångs,first-time,HONDURAS,Honduras,6
2021,,2021,True,förstagångs,first-time,INDIEN,India,3864
2021,,2021,True,förstagångs,first-time,INDONESIEN,Indonesia,37
2021,,2021,True,förstagångs,first-time,IRAK,Iraq,415
2021,,2021,True,förstagångs,first-time,IRAN,Iran,506
2021,,2021,True,förstagångs,first-time,ISRAEL,Israel,11
2021,,2021,True,förstagångs,first-time,ITALIEN,Italy,1
2021,,2021,True,förstagångs,first-time,JAMAICA,Jamaica,5
2021,,2021,True,förstagångs,first-time,JAPAN,Japan,101
2021,,2021,True,förstagångs,first-time,JEMEN,Yemen,2
2021,,2021,True,förstagångs,first-time,JORDANIEN,Jordan,37
2021,,2021,True,förstagångs,first-time,KAMERUN,Cameroon,43
2021,,2021,True,förstagångs,first-time,KANADA,Canada,129
2021,,2021,True,förstagångs,first-time,KAZAKSTAN,Kazakhstan,35
2021,,2021,True,förstagångs,first-time,KENYA,Kenya,19
2021,,2021,True,förstagångs,first-time,KINA,China,716
2021,,2021,True,förstagångs,first-time,KIRGIZISTAN,Kyrgyzstan,32
2021,,2021,True,förstagångs,first-time,KONGO,Congo,1
2021,,2021,True,förstagångs,first-time,KOSOVO,Kosovo,232
2021,,2021,True,förstagångs,first-time,KUBA,Cuba,3
2021,,2021,True,förstagångs,first-time,KUWAIT,Kuwait,1
2021,,2021,True,förstagångs,first-time,LAOS,Laos,1
2021,,2021,True,förstagångs,first-time,LETTLAND,Latvia,1
2021,,2021,True,förstagångs,first-time,LIBANON,Lebanon,67
2021,,2021,True,förstagångs,first-time,LIBERIA,Liberia,2
2021,,2021,True,förstagångs,first-time,LIBYEN,Libya,2
2021,,2021,True,förstagångs,first-time,MALAWI,Malawi,2
2021,,2021,True,förstagångs,first-time,MALAYSIA,Malaysia,44
2021,,2021,True,förstagångs,first-time,MALI,Mali,1
2021,,2021,True,förstagångs,first-time,MAROCKO,Morocco,73
2021,,2021,True,förstagångs,first-time,MAURITIUS,Mauritius,1
2021,,2021,True,förstagångs,first-time,MEXIKO,Mexico,113
2021,,2021,True,förstagångs,first-time,MOLDAVIEN,Moldova,33
2021,,2021,True,förstagångs,first-time,MONGOLIET,Mongolia,128
2021,,2021,True,förstagångs,first-time,MONTENEGRO,Montenegro,22
2021,,2021,True,förstagångs,first-time,MYANMAR,Myanmar,1
2021,,2021,True,förstagångs,first-time,NEPAL,Nepal,27
2021,,2021,True,förstagångs,first-time,NICARAGUA,Nicaragua,13
2021,,2021,True,förstagångs,first-time,NIGERIA,Nigeria,93
2021,,2021,True,förstagångs,first-time,NORDMAKEDONIEN,North Macedonia,73
2021,,2021,True,förstagångs,first-time,NYA ZEELAND,New Zealand,18
2021,,2021,True,förstagångs,first-time,PAKISTAN,Pakistan,375
2021,,2021,True,förstagångs,first-time,PALESTINA,Palestine,30
2021,,2021,True,förstagångs,first-time,PERU,Peru,25
2021,,2021,True,förstagångs,first-time,RWANDA,Rwanda,6
2021,,2021,True,förstagångs,first-time,RYSSLAND,Russia,246
2021,,2021,True,förstagångs,first-time,SENEGAL,Senegal,1
2021,,2021,True,förstagångs,first-time,SERBIEN,Serbia,313
2021,,2021,True,förstagångs,first-time,SEYCHELLERNA,Seychelles,1
2021,,2021,True,förstagångs,first-time,SIERRA LEONE,Sierra Leone,8
2021,,2021,True,förstagångs,first-time,SINGAPORE,Singapore,22
2021,,2021,True,förstagångs,first-time,SRI LANKA,Sri Lanka,59
2021,,2021,True,förstagångs,first-time,STATSLÖS,Stateless,18
2021,,2021,True,förstagångs,first-time,STORBRITANNIEN,United Kingdom,680
2021,,2021,True,förstagångs,first-time,SUDAN,Sudan,17
2021,,2021,True,förstagångs,first-time,SYDAFRIKA,South Africa,138
2021,,2021,True,förstagångs,first-time,SYDKOREA,South Korea,197
2021,,2021,True,förstagångs,first-time,SYRIEN,Syria,58
2021,,2021,True,förstagångs,first-time,TADZJIKISTAN,Tajikistan,11
2021,,2021,True,förstagångs,first-time,TAIWAN,Taiwan,32
2021,,2021,True,förstagångs,first-time,TANZANIA,Tanzania,6
2021,,2021,True,förstagångs,first-time,THAILAND,Thailand,5460
2021,,2021,True,förstagångs,first-time,TOGO,Togo,2
2021,,2021,True,förstagångs,first-time,TRINIDAD OCH TOBAGO,Trinidad and Tobago,1
2021,,2021,True,förstagångs,first-time,TUNISIEN,Tunisia,41
2021,,2021,True,förstagångs,first-time,TURKIET,Turkey,741
2021,,2021,True,förstagångs,first-time,TURKMENISTAN,Turkmenistan,2
2021,,2021,True,förstagångs,first-time,UGANDA,Uganda,12
2021,,2021,True,förstagångs,first-time,UKRAINA,Ukraine,2059
2021,,2021,True,förstagångs,first-time,URUGUAY,Uruguay,12
2021,,2021,True,förstagångs,first-time,USA,United States,488
2021,,2021,True,förstagångs,first-time,UZBEKISTAN,Uzbekistan,221
2021,,2021,True,förstagångs,first-time,VENEZUELA,Venezuela,28
2021,,2021,True,förstagångs,first-time,VIETNAM,Vietnam,155
2021,,2021,True,förstagångs,first-time,ZAMBIA,Zambia,6
2021,,2021,True,förstagångs,first-time,ZIMBABWE,Zimbabwe,10
2021,,2021,True,förstagångs,first-time,Totalt,Total,20753
2022,1,2022-01,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,3
2022,2,2022-02,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,7
2022,3,2022-03,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,7
2022,4,2022-04,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,6
2022,5,2022-05,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,5
2022,6,2022-06,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,4
2022,7,2022-07,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,1
2022,8,2022-08,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,3
2022,9,2022-09,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,7
2022,10,2022-10,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,7
2022,11,2022-11,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,1
2022,12,2022-12,False,förstagångs,first-time,AFGHANISTAN,Afghanistan,4
2022,,2022,True,förstagångs,first-time,AFGHANISTAN,Afghanistan,55
2022,1,2022-01,False,förstagångs,first-time,ALBANIEN,Albania,21
2022,2,2022-02,False,förstagångs,first-time,ALBANIEN,Albania,23
2022,3,2022-03,False,förstagångs,first-time,ALBANIEN,Albania,32
2022,4,2022-04,False,förstagångs,first-time,ALBANIEN,Albania,23
2022,5,2022-05,False,förstagångs,first-time,ALBANIEN,Albania,31
2022,6,2022-06,False,förstagångs,first-time,ALBANIEN,Albania,8
2022,7,2022-07,False,förstagångs,first-time,ALBANIEN,Albania,14
2022,8,2022-08,False,förstagångs,first-time,ALBANIEN,Albania,10
2022,9,2022-09,False,förstagångs,first-time,ALBANIEN,Albania,23
2022,10,2022-10,False,förstagångs,first-time,ALBANIEN,Albania,33
2022,11,2022-11,False,förstagångs,first-time,ALBANIEN,Albania,7
2022,12,2022-12,False,förstagångs,first-time,ALBANIEN,Albania,17
2022,,2022,True,förstagångs,first-time,ALBANIEN,Albania,242
2022,1,2022-01,False,förstagångs,first-time,ALGERIET,Algeria,1
2022,2,2022-02,False,förstagångs,first-time,ALGERIET,Algeria,3
2022,3,2022-03,False,förstagångs,first-time,ALGERIET,Algeria,1
2022,4,2022-04,False,förstagångs,first-time,ALGERIET,Algeria,1
2022,5,2022-05,False,förstagångs,first-time,ALGERIET,Algeria,3
2022,6,2022-06,False,förstagångs,first-time,ALGERIET,Algeria,0
2022,7,2022-07,False,förstagångs,first-time,ALGERIET,Algeria,1
2022,8,2022-08,False,förstagångs,first-time,ALGERIET,Algeria,0
2022,9,2022-09,False,förstagångs,first-time,ALGERIET,Algeria,2
2022,10,2022-10,False,förstagångs,first-time,ALGERIET,Algeria,0
2022,11,2022-11,False,förstagångs,first-time,ALGERIET,Algeria,0
2022,12,2022-12,False,förstagångs,first-time,ALGERIET,Algeria,0
2022,,2022,True,förstagångs,first-time,ALGERIET,Algeria,12
2022,1,2022-01,False,förstagångs,first-time,ARGENTINA,Argentina,8
2022,2,2022-02,False,förstagångs,first-time,ARGENTINA,Argentina,14
2022,3,2022-03,False,förstagångs,first-time,ARGENTINA,Argentina,9
2022,4,2022-04,False,förstagångs,first-time,ARGENTINA,Argentina,10
2022,5,2022-05,False,förstagångs,first-time,ARGENTINA,Argentina,9
2022,6,2022-06,False,förstagångs,first-time,ARGENTINA,Argentina,4
2022,7,2022-07,False,förstagångs,first-time,ARGENTINA,Argentina,7
2022,8,2022-08,False,förstagångs,first-time,ARGENTINA,Argentina,4
2022,9,2022-09,False,förstagångs,first-time,ARGENTINA,Argentina,16
2022,10,2022-10,False,förstagångs,first-time,ARGENTINA,Argentina,13
2022,11,2022-11,False,förstagångs,first-time,ARGENTINA,Argentina,10
2022,12,2022-12,False,förstagångs,first-time,ARGENTINA,Argentina,6
2022,,2022,True,förstagångs,first-time,ARGENTINA,Argentina,110
2022,1,2022-01,False,förstagångs,first-time,ARMENIEN,Armenia,2
2022,2,2022-02,False,förstagångs,first-time,ARMENIEN,Armenia,3
2022,3,2022-03,False,förstagångs,first-time,ARMENIEN,Armenia,2
2022,4,2022-04,False,förstagångs,first-time,ARMENIEN,Armenia,1
2022,5,2022-05,False,förstagångs,first-time,ARMENIEN,Armenia,3
2022,6,2022-06,False,förstagångs,first-time,ARMENIEN,Armenia,0
2022,7,2022-07,False,förstagångs,first-time,ARMENIEN,Armenia,1
2022,8,2022-08,False,förstagångs,first-time,ARMENIEN,Armenia,2
2022,9,2022-09,False,förstagångs,first-time,ARMENIEN,Armenia,4
2022,10,2022-10,False,förstagångs,first-time,ARMENIEN,Armenia,2
2022,11,2022-11,False,förstagångs,first-time,ARMENIEN,Armenia,1
2022,12,2022-12,False,förstagångs,first-time,ARMENIEN,Armenia,2
2022,,2022,True,förstagångs,first-time,ARMENIEN,Armenia,23
2022,1,2022-01,False,förstagångs,first-time,AUSTRALIEN,Australia,6
2022,2,2022-02,False,förstagångs,first-time,AUSTRALIEN,Australia,8
2022,3,2022-03,False,förstagångs,first-time,AUSTRALIEN,Australia,3
2022,4,2022-04,False,förstagångs,first-time,AUSTRALIEN,Australia,10
2022,5,2022-05,False,förstagångs,first-time,AUSTRALIEN,Australia,5
2022,6,2022-06,False,förstagångs,first-time,AUSTRALIEN,Australia,2
2022,7,2022-07,False,förstagångs,first-time,AUSTRALIEN,Australia,9
