year,month,year_month,is_year_total,permit_type_sv,permit_type_en,occupation_field_sv,occupation_field_en,granted_count
2021,1,2021-01,False,förstagångs,first-time,Chefsyrken,Managers,21
2021,2,2021-02,False,förstagångs,first-time,Chefsyrken,Managers,32
2021,3,2021-03,False,förstagångs,first-time,Chefsyrken,Managers,28
2021,4,2021-04,False,förstagångs,first-time,Chefsyrken,Managers,28
2021,5,2021-05,False,förstagångs,first-time,Chefsyrken,Managers,45
2021,6,2021-06,False,förstagångs,first-time,Chefsyrken,Managers,85
2021,7,2021-07,False,förstagångs,first-time,Chefsyrken,Managers,39
2021,8,2021-08,False,förstagångs,first-time,Chefsyrken,Managers,41
2021,9,2021-09,False,förstagångs,first-time,Chefsyrken,Managers,36
2021,10,2021-10,False,förstagångs,first-time,Chefsyrken,Managers,48
2021,11,2021-11,False,förstagångs,first-time,Chefsyrken,Managers,45
2021,12,2021-12,False,förstagångs,first-time,Chefsyrken,Managers,47
2021,,2021,True,förstagångs,first-time,Chefsyrken,Managers,495
2021,1,2021-01,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,2,2021-02,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,3,2021-03,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,4,2021-04,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,5,2021-05,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,6,2021-06,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,7,2021-07,False,förstagångs,first-time,Militära yrken,Military occupations,2
2021,8,2021-08,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,9,2021-09,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,10,2021-10,False,förstagångs,first-time,Militära yrken,Military occupations,0
2021,11,2021-11,False,förstagångs,first-time,Militära yrken,Military occupations,2
2021,12,2021-12,False,förstagångs,first-time,Militära yrken,Military occupations,5
2021,,2021,True,förstagångs,first-time,Militära yrken,Military occupations,9
2021,1,2021-01,False,förstagångs,first-time,Okänd,Unknown,0
2021,2,2021-02,False,förstagångs,first-time,Okänd,Unknown,7
2021,3,2021-03,False,förstagångs,first-time,Okänd,Unknown,6
2021,4,2021-04,False,förstagångs,first-time,Okänd,Unknown,4
2021,5,2021-05,False,förstagångs,first-time,Okänd,Unknown,3
