year,month,year_month,is_year_total,permit_type_sv,permit_type_en,occupation_field_sv,occupation_field_en,occupation_group_sv,occupation_group_en,granted_count
2015,,2015,True,förstagångs,first-time,"Arbete inom jordbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries (SSYK96)",Djuruppfödare och djurskötare,Animal breeders and keepers,1
2015,,2015,True,förstagångs,first-time,"Arbete inom jordbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries (SSYK96)",Växtodlare inom jordbruk och trädgård,"Crop growers, agriculture and horticulture",7
2015,,2015,True,förstagångs,first-time,"Arbete inom jordbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries (SSYK96)","Växtodlare och djuruppfödare, blandad drift",Mixed crop and animal producers,1
2015,,2015,True,förstagångs,first-time,"Arbete inom jordbruk, trädgård, skogsbruk och fiske","Agriculture, horticulture, forestry and fisheries (SSYK96)",Totalt,Total,9
2015,,2015,True,förstagångs,first-time,Arbete som kräver kortare högskoleutbildning eller motsvaran,Occupations requiring shorter university competence or equivalent (SSYK96),Förskollärare och fritidspedagoger,Preschool and after-school teachers (SSYK96),2
2015,,2015,True,förstagångs,first-time,Arbete som kräver kortare högskoleutbildning eller motsvaran,Occupations requiring shorter university competence or equivalent (SSYK96),Ingenjörer och tekniker,Engineers and technicians,1
2015,,2015,True,förstagångs,first-time,Arbete som kräver kortare högskoleutbildning eller motsvaran,Occupations requiring shorter university competence or equivalent (SSYK96),"Redovisningsekonomer, administrativa assistenter m.fl",Accounting and administrative assistants (SSYK96),1
2015,,2015,True,förstagångs,first-time,Arbete som kräver kortare högskoleutbildning eller motsvaran,Occupations requiring shorter university competence or equivalent (SSYK96),"Säljare, inköpare, mäklare m.fl","Salespersons, buyers and brokers (SSYK96)",2
2015,,2015,True,förstagångs,first-time,Arbete som kräver kortare högskoleutbildning eller motsvaran,Occupations requiring shorter university competence or equivalent (SSYK96),Totalt,Total,6
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),"Civilingenjörer, arkitekter m.fl.","Engineering professionals, architects etc. (SSYK96)",10
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),Dataspecialister,Computing professionals (SSYK96),10
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),"Fysiker, kemister m.fl.",Physicists and chemists (SSYK96),1
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),"Företagsekonomer, marknadsförare och personaltjänstemän","Business economists, marketers and HR officers (SSYK96)",1
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),Hälso- och sjukvårdsspecialister,Health-care specialists (SSYK96),1
2015,,2015,True,förstagångs,first-time,Arbete som kräver teoretisk specialistkompetens,Occupations requiring theoretical specialist competence (SSYK96),"Journalister, konstnärer, skådespelare m.fl","Journalists, artists and actors (SSYK96)",1
