year,permit_type,number_applications_received,number_decisions_made,number_dublin_transfers,number_granted_applications,number_rejected_applications,approval_rate,rejection_rate,source_page,notes
2001,first-time,23730,16860,,4650,10600,0.3049,0.6951,arsredovisning_2001.pdf#14,"source: arsredovisning_2001.pdf p14 (Tabell 5) | granted=4650 (published), rejected=10600 (published) | approval_rate=0.3049, rejection_rate=0.6951 | Total is first-time. granted/rejected = 'cirka' first-instance persons (~4,650 / ~10,600, prose p13). Approximate, persons-basis. 'grundärenden'. Earliest own report."
2002,first-time,33168,27157,,5514,18497,0.2296,0.7704,arsredovisning_2002.pdf#12,"source: arsredovisning_2002.pdf p12 (Tabell 3) | granted=5514 (published), rejected=18497 (published) | approval_rate=0.2296, rejection_rate=0.7704 | Total is first-time. granted/rejected = first-instance persons (5,514 positive / 18,497 negative, prose p9). Persons-basis, not case-basis; 'grundärenden'. approval computed from counts."
2003,first-time,33853,31334,,,,,,arsredovisning_2003.pdf#10,source: arsredovisning_2003.pdf p10 (Tabell 3) | grant/reject counts not derived (era rate not comparable to decided base) | Total is first-time. 'grundärenden'. Grant given only as a % in prose → approval_rate/counts blank.
2004,first-time,23941,35308,,,,,,arsredovisning_2004.pdf#14,"source: arsredovisning_2004.pdf p14 (Tabell 6) | grant/reject counts not derived (era rate not comparable to decided base) | Total is first-time. 'grundärenden' terminology. Prose cites 3,399 first-instance grants only (not a comparable total-grant measure) → granted left blank. Received/decided clean."
2005,first-time,17662,21325,,,,,,arsredovisning_2005.pdf#11,source: arsredovisning_2005.pdf p11 (Tabell 4) | grant/reject counts not derived (era rate not comparable to decided base) | Total is first-time. Grant rate given only as a font-garbled % in prose; approval_rate/counts left blank. Received/decided are clean table figures. Old 2-instance system (Migrationsverket + Utlänningsnämnden).
2006,first-time,27224,18838,2267,7940,,0.42,0.58,arsredovisning_2006.pdf#10,"source: arsredovisning_2006.pdf p10 (Tabell 4) | granted=7940 (published) | approval_rate=0.42, rejection_rate=0.58 | Total is first-time. granted 7,940 persons (42%) cross-sourced from the 2007 report (own gives % only). Dublin 2,267 from 2008 report. approval basis = applicant share."
2007,first-time,38347,32492,3414,15639,,0.48,0.52,arsredovisning_2007.pdf#14,"source: arsredovisning_2007.pdf p14 (Tabell 3) | granted=15639 (published) | approval_rate=0.48, rejection_rate=0.52 | Total is first-time. granted 15,639 persons (48% of applicants, first-instance) from prose. rejected not published. approval basis = applicant share."
2008,first-time,24860,33845,3414,,,0.24,0.76,arsredovisning_2008.pdf#18,"source: arsredovisning_2008.pdf p18 (Tabell 3) | grant/reject counts not derived (era rate not comparable to decided base) | approval_rate=0.24, rejection_rate=0.76 | Total is first-time (no extension category). approval_rate 24% = share of applicants granted (prose). Dublin=varav Dublinärenden (p19). No grant/reject counts published."
2009,first-time,24232,27394,3604,,,0.27,0.73,arsredovisning_2009.pdf#24,"source: arsredovisning_2009.pdf p24 (Tabell 3) | grant/reject counts not derived (era rate not comparable to decided base) | approval_rate=0.27, rejection_rate=0.73 | Total is first-time (no extension category). approval_rate 27% = share of applicants granted (prose). No grant/reject counts published; counts left blank (era rate not comparable to base)."
2010,first-time,31905,31256,3932,8724,,0.28,0.72,arsredovisning_2010.pdf#22,"source: arsredovisning_2010.pdf p22 (Figur 6) | granted=8724 (published) | approval_rate=0.28, rejection_rate=0.72 | Total is first-time (no extension category). approval_rate 28% = share of applicants granted (p23). granted 8,724 (prose); rejected not published."
