year,industry_code,industry_name,born_in_sweden,foreign_born,total,pct_born_in_sweden,pct_foreign_born
2024,A-U+US,Total,4065389,1195254,5260643,77.3,22.7
2024,Q,Health & social work,609886,251500,861386,70.8,29.2
2024,M+N,"Professional, scientific & tech",497805,178624,676429,73.6,26.4
2024,G,trade; repair establishments for motor vehicles and motorcycles,495964,111474,607438,81.6,18.4
2024,B+C,"mining, quarrying, manufacturing ",446850,115010,561860,79.5,20.5
2024,P,Education,427372,123684,551056,77.6,22.4
2024,F,construction industry,304838,66935,371773,82.0,18.0
2024,O,public authorities and national defence,309554,41238,350792,88.2,11.8
2024,J,information and communication companies,192302,53513,245815,78.2,21.8
2024,R+S+T+U,"establishments for arts, entertainment and recreation; other service companies etc.",192223,45529,237752,80.9,19.1
2024,H,transport and storage companies,158473,73856,232329,68.2,31.8
2024,I,Hospitality,110146,87147,197293,55.8,44.2
2024,K,financial institutions and insurance companies,95823,16237,112060,85.5,14.5
2024,A,"Agriculture, forestry & fishing",84915,7543,92458,91.8,8.2
2024,L,real estate companies,76114,12470,88584,85.9,14.1
2024,D+E,Energy & environment,53959,7268,61227,88.1,11.9
2024,US,not available,9164,3230,12394,73.9,26.1
