year,background,age,age_group,population
2002,Swedish,0,young,84594
2002,Swedish,1,young,80084
2002,Swedish,2,young,78975
2002,Swedish,3,young,76812
2002,Swedish,4,young,77282
2002,Swedish,5,young,78180
2002,Swedish,6,young,82365
2002,Swedish,7,young,89312
2002,Swedish,8,young,97770
2002,Swedish,9,young,102712
2002,Swedish,10,young,108662
2002,Swedish,11,young,110948
2002,Swedish,12,young,112042
2002,Swedish,13,young,105450
2002,Swedish,14,young,102059
2002,Swedish,15,young,95382
2002,Swedish,16,young,93168
2002,Swedish,17,young,89906
2002,Swedish,18,young,85746
2002,Swedish,19,young,83740
2002,Swedish,20,working_age,84399
2002,Swedish,21,working_age,84812
2002,Swedish,22,working_age,87303
2002,Swedish,23,working_age,86220
2002,Swedish,24,working_age,83472
2002,Swedish,25,working_age,86157
2002,Swedish,26,working_age,87967
2002,Swedish,27,working_age,92922
2002,Swedish,28,working_age,98780
2002,Swedish,29,working_age,97936
2002,Swedish,30,working_age,99375
2002,Swedish,31,working_age,100288
2002,Swedish,32,working_age,96540
2002,Swedish,33,working_age,95414
2002,Swedish,34,working_age,100779
2002,Swedish,35,working_age,108022
2002,Swedish,36,working_age,109734
2002,Swedish,37,working_age,109919
2002,Swedish,38,working_age,110001
2002,Swedish,39,working_age,101101
2002,Swedish,40,working_age,95985
2002,Swedish,41,working_age,93465
2002,Swedish,42,working_age,91447
2002,Swedish,43,working_age,93828
2002,Swedish,44,working_age,94470
2002,Swedish,45,working_age,95676
2002,Swedish,46,working_age,96833
2002,Swedish,47,working_age,96301
2002,Swedish,48,working_age,94208
2002,Swedish,49,working_age,98220
2002,Swedish,50,working_age,97990
2002,Swedish,51,working_age,97711
2002,Swedish,52,working_age,102231
2002,Swedish,53,working_age,107096
2002,Swedish,54,working_age,111499
2002,Swedish,55,working_age,112843
2002,Swedish,56,working_age,115318
2002,Swedish,57,working_age,115914
2002,Swedish,58,working_age,114591
2002,Swedish,59,working_age,106513
2002,Swedish,60,working_age,96800
2002,Swedish,61,working_age,83152
2002,Swedish,62,working_age,79150
2002,Swedish,63,working_age,79268
2002,Swedish,64,working_age,75804
2002,Swedish,65,working_age,71515
2002,Swedish,66,elderly,69384
2002,Swedish,67,elderly,65700
2002,Swedish,68,elderly,63553
2002,Swedish,69,elderly,62425
2002,Swedish,70,elderly,64333
2002,Swedish,71,elderly,63458
2002,Swedish,72,elderly,63425
2002,Swedish,73,elderly,60875
2002,Swedish,74,elderly,62064
2002,Swedish,75,elderly,59455
2002,Swedish,76,elderly,59349
2002,Swedish,77,elderly,59186
2002,Swedish,78,elderly,57600
2002,Swedish,79,elderly,56473
2002,Swedish,80,elderly,53819
2002,Swedish,81,elderly,55119
2002,Swedish,82,elderly,54268
2002,Swedish,83,elderly,41302
2002,Swedish,84,elderly,37616
2002,Swedish,85,elderly,34549
2002,Swedish,86,elderly,30484
2002,Swedish,87,elderly,26089
2002,Swedish,88,elderly,23176
2002,Swedish,89,elderly,19663
2002,Swedish,90,elderly,16319
2002,Swedish,91,elderly,12960
2002,Swedish,92,elderly,10164
2002,Swedish,93,elderly,7956
2002,Swedish,94,elderly,5681
2002,Swedish,95,elderly,4174
2002,Swedish,96,elderly,2896
2002,Swedish,97,elderly,1861
2002,Swedish,98,elderly,1215
2002,Swedish,99,elderly,798
2002,Swedish,100+,elderly,1027
2002,foreign,0,young,11432
2002,foreign,1,young,12602
2002,foreign,2,young,13205
2002,foreign,3,young,13509
2002,foreign,4,young,14004
2002,foreign,5,young,14200
2002,foreign,6,young,14710
2002,foreign,7,young,15607
2002,foreign,8,young,16003
2002,foreign,9,young,16177
2002,foreign,10,young,16268
2002,foreign,11,young,16696
2002,foreign,12,young,16874
2002,foreign,13,young,16528
2002,foreign,14,young,16863
2002,foreign,15,young,16693
2002,foreign,16,young,16830
2002,foreign,17,young,17006
2002,foreign,18,young,17007
2002,foreign,19,young,16748
2002,foreign,20,working_age,17293
2002,foreign,21,working_age,17584
2002,foreign,22,working_age,18584
2002,foreign,23,working_age,18481
2002,foreign,24,working_age,18856
2002,foreign,25,working_age,19425
2002,foreign,26,working_age,20565
2002,foreign,27,working_age,21282
2002,foreign,28,working_age,21784
2002,foreign,29,working_age,21930
2002,foreign,30,working_age,23052
2002,foreign,31,working_age,23448
2002,foreign,32,working_age,23737
2002,foreign,33,working_age,24144
2002,foreign,34,working_age,24834
2002,foreign,35,working_age,24900
2002,foreign,36,working_age,25095
2002,foreign,37,working_age,25481
2002,foreign,38,working_age,25674
2002,foreign,39,working_age,24991
2002,foreign,40,working_age,24557
2002,foreign,41,working_age,23614
2002,foreign,42,working_age,24112
2002,foreign,43,working_age,22895
