year,permit_type,number_applications_received,number_decisions_made,number_granted_applications,number_rejected_applications,approval_rate,rejection_rate,source_page,notes
2001,first-time,,13393,,,,,arsredovisning_2001.pdf#7,"Pre-2008 reform; 2001 own report (Tabell 1) gives 'varav arbetsmarknadsärenden 13,393' under förstagångs avgjorda (sökts vid ambassad). Total Arbetsmarknadsärenden inkomna/avgjorda not separately published; not comparable to later years."
2001,extension,,,,,,,arsredovisning_2001.pdf#7,"Pre-2008 reform; 2001 own report (Tabell 1) gives 'varav arbetsmarknadsärenden 13,393' under förstagångs avgjorda (sökts vid ambassad). Total Arbetsmarknadsärenden inkomna/avgjorda not separately published; not comparable to later years."
2002,first-time,12946,14700,,,,,arsredovisning_2002.pdf#23,"Pre-2008 reform: 2002 own report Tabell 9 gives 'varav arbetsmarknadsärenden 14,700' under förstagångs avgjorda. Total inkomna/avgjorda and extension breakdown from arsredovisning_2004.pdf p41 Tabell 27. Total beviljade 2002=16,732; total bifall 16732/20068 = 83.4% computed in build step."
2002,extension,5815,5368,,,,,arsredovisning_2002.pdf#23,"Pre-2008 reform: 2002 own report Tabell 9 gives 'varav arbetsmarknadsärenden 14,700' under förstagångs avgjorda. Total inkomna/avgjorda and extension breakdown from arsredovisning_2004.pdf p41 Tabell 27. Total beviljade 2002=16,732; total bifall 16732/20068 = 83.4% computed in build step."
2003,first-time,12971,13411,,,,,arsredovisning_2003.pdf#31,"Pre-2008 reform: 2003 own report Tabell 17 gives 'varav arbetsmarknadsärenden 13,411' under förstagångs avgjorda. Total inkomna/avgjorda and extension breakdown from arsredovisning_2004.pdf p41 Tabell 27. Total beviljade 2003=16,034; total bifall 16034/19490 = 82.3% computed in build step."
2003,extension,5506,6079,,,,,arsredovisning_2003.pdf#31,"Pre-2008 reform: 2003 own report Tabell 17 gives 'varav arbetsmarknadsärenden 13,411' under förstagångs avgjorda. Total inkomna/avgjorda and extension breakdown from arsredovisning_2004.pdf p41 Tabell 27. Total beviljade 2003=16,034; total bifall 16034/19490 = 82.3% computed in build step."
2004,first-time,9620,9998,,,,,arsredovisning_2004.pdf#41,Pre-2008 reform: first-time = total-extension (inkomna 13561-3941=9620; avgjorda 14132-4134=9998). Total beviljade=11992; total bifall = 11992/14132 = 84.9% computed in build step. Per-type bifall not published.
2004,extension,3941,4134,,,,,arsredovisning_2004.pdf#41,Pre-2008 reform: first-time = total-extension (inkomna 13561-3941=9620; avgjorda 14132-4134=9998). Total beviljade=11992; total bifall = 11992/14132 = 84.9% computed in build step. Per-type bifall not published.
2005,first-time,,,,,,,arsredovisning_2005.pdf#23,Pre-2008 reform; narrow Arbetstillstånd category.
2005,extension,,,,,,,arsredovisning_2005.pdf#23,Pre-2008 reform; narrow Arbetstillstånd category.
2006,first-time,,,,,,,arsredovisning_2006.pdf#25,"Pre-2008 reform; narrow Arbetstillstånd category, no first-time/extension split. 2008 report lists 2006 beviljade=7102 (bifall ~59% of 12077)."
2006,extension,,,,,,,arsredovisning_2006.pdf#25,"Pre-2008 reform; narrow Arbetstillstånd category, no first-time/extension split. 2008 report lists 2006 beviljade=7102 (bifall ~59% of 12077)."
2007,first-time,,,,,,,arsredovisning_2007.pdf#45,"Pre-2008 reform: 'Arbetstillståndsärenden' refers to a narrower work-permit category (no first-time/extension split published in own report). 2008 beviljade column gives 2006/2007/2008 = 7102/8632/11032; 2007 bifall ≈ 8632/13454 = 64% if applied to total, but interpretation differs from post-2010 'Arbetsmarknadsärenden'."
2007,extension,,,,,,,arsredovisning_2007.pdf#45,"Pre-2008 reform: 'Arbetstillståndsärenden' refers to a narrower work-permit category (no first-time/extension split published in own report). 2008 beviljade column gives 2006/2007/2008 = 7102/8632/11032; 2007 bifall ≈ 8632/13454 = 64% if applied to total, but interpretation differs from post-2010 'Arbetsmarknadsärenden'."
