year,permit_type,occupation_category,number_granted_applications
2015,first-time,"Agriculture, forestry & fisheries",4260
2015,first-time,"Arts, media & culture",110
2015,first-time,"Business, finance & legal",411
2015,first-time,Care & nursing aides,267
2015,first-time,Cleaning & building maintenance,372
2015,first-time,Construction trades,330
2015,first-time,Doctors & dentists,41
2015,first-time,Education,263
2015,first-time,Engineering professionals,1127
2015,first-time,General management,131
2015,first-time,Hospitality & food service,1384
2015,first-time,IT & software,3323
2015,first-time,Manufacturing & factory work,206
2015,first-time,Military & security,7
2015,first-time,Natural sciences (research),51
2015,first-time,Nurses & allied health,22
2015,first-time,Personal services & sports,57
2015,first-time,Religion & social work,33
2015,first-time,"Sales, retail & marketing",427
2015,first-time,Transport & logistics,133
2015,first-time,Unknown / other,112
2015,first-time,Vehicle & equipment mechanics,246
2015,extension,"Agriculture, forestry & fisheries",0
2015,extension,"Arts, media & culture",0
2015,extension,"Business, finance & legal",0
2015,extension,Care & nursing aides,0
2015,extension,Cleaning & building maintenance,0
2015,extension,Construction trades,0
2015,extension,Doctors & dentists,0
2015,extension,Education,0
2015,extension,Engineering professionals,0
2015,extension,General management,0
2015,extension,Hospitality & food service,0
2015,extension,IT & software,0
2015,extension,Manufacturing & factory work,0
2015,extension,Military & security,0
2015,extension,Natural sciences (research),0
2015,extension,Nurses & allied health,0
2015,extension,Personal services & sports,0
2015,extension,Religion & social work,0
2015,extension,"Sales, retail & marketing",0
2015,extension,Transport & logistics,0
2015,extension,Unknown / other,0
2015,extension,Vehicle & equipment mechanics,0
2016,first-time,"Agriculture, forestry & fisheries",3468
2016,first-time,"Arts, media & culture",144
2016,first-time,"Business, finance & legal",398
2016,first-time,Care & nursing aides,348
2016,first-time,Cleaning & building maintenance,330
2016,first-time,Construction trades,311
2016,first-time,Doctors & dentists,53
2016,first-time,Education,241
2016,first-time,Engineering professionals,1225
2016,first-time,General management,75
2016,first-time,Hospitality & food service,986
2016,first-time,IT & software,3867
2016,first-time,Manufacturing & factory work,149
2016,first-time,Military & security,5
2016,first-time,Natural sciences (research),35
2016,first-time,Nurses & allied health,23
2016,first-time,Personal services & sports,58
2016,first-time,Religion & social work,43
2016,first-time,"Sales, retail & marketing",387
2016,first-time,Transport & logistics,104
2016,first-time,Unknown / other,25
2016,first-time,Vehicle & equipment mechanics,251
2016,extension,"Agriculture, forestry & fisheries",0
2016,extension,"Arts, media & culture",0
2016,extension,"Business, finance & legal",0
2016,extension,Care & nursing aides,0
2016,extension,Cleaning & building maintenance,0
2016,extension,Construction trades,0
2016,extension,Doctors & dentists,0
2016,extension,Education,0
2016,extension,Engineering professionals,0
2016,extension,General management,0
2016,extension,Hospitality & food service,0
2016,extension,IT & software,0
2016,extension,Manufacturing & factory work,0
2016,extension,Military & security,0
2016,extension,Natural sciences (research),0
2016,extension,Nurses & allied health,0
2016,extension,Personal services & sports,0
2016,extension,Religion & social work,0
2016,extension,"Sales, retail & marketing",0
2016,extension,Transport & logistics,0
2016,extension,Unknown / other,0
2016,extension,Vehicle & equipment mechanics,0
2017,first-time,"Agriculture, forestry & fisheries",3477
2017,first-time,"Arts, media & culture",212
2017,first-time,"Business, finance & legal",573
2017,first-time,Care & nursing aides,362
2017,first-time,Cleaning & building maintenance,750
2017,first-time,Construction trades,538
2017,first-time,Doctors & dentists,61
2017,first-time,Education,290
2017,first-time,Engineering professionals,1615
2017,first-time,General management,71
2017,first-time,Hospitality & food service,1719
2017,first-time,IT & software,4407
2017,first-time,Manufacturing & factory work,212
2017,first-time,Military & security,7
2017,first-time,Natural sciences (research),41
2017,first-time,Nurses & allied health,87
2017,first-time,Personal services & sports,126
2017,first-time,Religion & social work,39
2017,first-time,"Sales, retail & marketing",482
2017,first-time,Transport & logistics,190
2017,first-time,Unknown / other,66
2017,first-time,Vehicle & equipment mechanics,227
2017,extension,"Agriculture, forestry & fisheries",0
2017,extension,"Arts, media & culture",0
2017,extension,"Business, finance & legal",0
2017,extension,Care & nursing aides,0
2017,extension,Cleaning & building maintenance,0
2017,extension,Construction trades,0
2017,extension,Doctors & dentists,0
2017,extension,Education,0
2017,extension,Engineering professionals,0
2017,extension,General management,0
2017,extension,Hospitality & food service,0
2017,extension,IT & software,0
