year,permit_type,occupation_field,occupation_category,occupation_group,number_granted_applications
2015,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Animal breeders and keepers,37
2015,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries","Crop growers, agriculture and horticulture",160
2015,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Forestry workers,260
2015,first-time,"Agriculture, horticulture, forestry and fisheries","Agriculture, forestry & fisheries",Mixed crop and animal producers,9
2015,first-time,"Agriculture, horticulture, forestry and fisheries",Total,Total,466
2015,first-time,"Agriculture, horticulture, forestry and fisheries (SSYK96)","Agriculture, forestry & fisheries",Animal breeders and keepers,1
2015,first-time,"Agriculture, horticulture, forestry and fisheries (SSYK96)","Agriculture, forestry & fisheries","Crop growers, agriculture and horticulture",7
2015,first-time,"Agriculture, horticulture, forestry and fisheries (SSYK96)","Agriculture, forestry & fisheries",Mixed crop and animal producers,1
2015,first-time,"Agriculture, horticulture, forestry and fisheries (SSYK96)",Total,Total,9
2015,first-time,Clerical and customer service work (SSYK96),"Business, finance & legal",Bookkeeping and accounting assistants (SSYK96),1
2015,first-time,Clerical and customer service work (SSYK96),"Sales, retail & marketing",Cashiers (SSYK96),3
2015,first-time,Clerical and customer service work (SSYK96),"Business, finance & legal",Other office staff (SSYK96),3
2015,first-time,Clerical and customer service work (SSYK96),Transport & logistics,Postal carriers (SSYK96),1
2015,first-time,Clerical and customer service work (SSYK96),Total,Total,16
2015,first-time,Clerical and customer service work (SSYK96),Transport & logistics,Warehouse and transport assistants (SSYK96),8
2015,first-time,Clerical support and customer service,Unknown / other,Croupiers and debt collectors,5
2015,first-time,Clerical support and customer service,General management,Elected officials,1
2015,first-time,Clerical support and customer service,"Business, finance & legal",Office assistants and secretaries,85
2015,first-time,Clerical support and customer service,Transport & logistics,Postal carriers and sorting workers,1
2015,first-time,Clerical support and customer service,Total,Total,194
2015,first-time,Clerical support and customer service,"Sales, retail & marketing","Travel agents, customer service and receptionists",24
2015,first-time,Clerical support and customer service,Transport & logistics,Warehouse and transport staff,78
2015,first-time,Construction and manufacturing trades,Manufacturing & factory work,Blacksmiths and toolmakers,5
2015,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Butchers, bakers and food processors",46
2015,first-time,Construction and manufacturing trades,Construction trades,"Carpenters, masons and construction workers",144
2015,first-time,Construction and manufacturing trades,Construction trades,"Casters, welders and sheet-metal workers",59
2015,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Electronics and communications repairers,56
2015,first-time,Construction and manufacturing trades,Construction trades,Installation and industrial electricians,15
2015,first-time,Construction and manufacturing trades,Construction trades,"Painters, lacquerers and chimney sweeps",36
2015,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Precision mechanics and craft workers,6
2015,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Prepress technicians, printers and bookbinders",2
2015,first-time,Construction and manufacturing trades,Construction trades,"Roofers, floor layers and plumbers",37
2015,first-time,Construction and manufacturing trades,Construction trades,Surface finishers and furniture makers,10
2015,first-time,Construction and manufacturing trades,Manufacturing & factory work,"Tailors, upholsterers and leather workers",19
2015,first-time,Construction and manufacturing trades,Total,Total,612
2015,first-time,Construction and manufacturing trades,Vehicle & equipment mechanics,Vehicle mechanics and repairers,177
2015,first-time,Craft work in construction and manufacturing (SSYK96),Manufacturing & factory work,Blacksmiths and toolmakers (SSYK96),2
2015,first-time,Craft work in construction and manufacturing (SSYK96),Manufacturing & factory work,"Butchers, bakers and pastry chefs (SSYK96)",13
2015,first-time,Craft work in construction and manufacturing (SSYK96),Construction trades,"Casters, welders and sheet-metal workers (SSYK96)",2
2015,first-time,Craft work in construction and manufacturing (SSYK96),Construction trades,Construction and civil-engineering workers (SSYK96),8
2015,first-time,Craft work in construction and manufacturing (SSYK96),Construction trades,Construction craft workers (SSYK96),3
2015,first-time,Craft work in construction and manufacturing (SSYK96),Vehicle & equipment mechanics,Machine and engine mechanics (SSYK96),7
2015,first-time,Craft work in construction and manufacturing (SSYK96),Manufacturing & factory work,"Mining, quarrying and stone-cutting workers (SSYK96)",1
2015,first-time,Craft work in construction and manufacturing (SSYK96),Construction trades,"Painters, lacquerers and chimney sweeps (SSYK96)",6
2015,first-time,Craft work in construction and manufacturing (SSYK96),Manufacturing & factory work,"Tailors, cutters and upholsterers (SSYK96)",4
2015,first-time,Craft work in construction and manufacturing (SSYK96),Manufacturing & factory work,"Tanners, hide processors and shoemakers (SSYK96)",2
2015,first-time,Craft work in construction and manufacturing (SSYK96),Total,Total,48
2015,first-time,Managers,"Business, finance & legal",Administration and planning managers,7
2015,first-time,Managers,General management,CEOs and managing directors,36
2015,first-time,Managers,"Sales, retail & marketing",Communications and PR managers,9
2015,first-time,Managers,"Business, finance & legal",Finance managers,32
2015,first-time,Managers,"Business, finance & legal",HR managers,23
2015,first-time,Managers,Hospitality & food service,Hotel and conference managers,1
2015,first-time,Managers,IT & software,IT managers,22
2015,first-time,Managers,Engineering professionals,Managers in architecture and engineering,6
2015,first-time,Managers,"Business, finance & legal","Managers in banking, finance and insurance",2
2015,first-time,Managers,General management,Managers in other service industries,2
2015,first-time,Managers,Education,"Managers in primary, secondary and adult education",2
2015,first-time,Managers,"Sales, retail & marketing",Managers in retail and wholesale,5
2015,first-time,Managers,Engineering professionals,Operations managers in construction and mining,3
2015,first-time,Managers,General management,Other administration and service managers,83
2015,first-time,Managers,General management,Other managers in public services,3
2015,first-time,Managers,General management,Politicians and senior civil servants,6
2015,first-time,Managers,Engineering professionals,Production managers in manufacturing,19
2015,first-time,Managers,"Business, finance & legal",Property and administration managers,2
2015,first-time,Managers,Transport & logistics,"Purchasing, logistics and transport managers",19
2015,first-time,Managers,Engineering professionals,R&D managers,19
2015,first-time,Managers,Religion & social work,Religious community leaders,2
2015,first-time,Managers,Hospitality & food service,Restaurant and kitchen managers,28
2015,first-time,Managers,"Sales, retail & marketing",Sales and marketing managers,79
2015,first-time,Managers,Total,Total,410
2015,first-time,Military occupations,Military & security,Specialist officers,3
2015,first-time,Military occupations,Total,Total,3
2015,first-time,Military work (SSYK96),Military & security,Military personnel (SSYK96),2
2015,first-time,Military work (SSYK96),Total,Total,2
2015,first-time,Occupations requiring advanced university competence,Engineering professionals,Architects and surveyors,12
2015,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Artists, musicians and actors",13
2015,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Auditors, financial analysts and fund managers",144
2015,first-time,Occupations requiring advanced university competence,"Arts, media & culture","Authors, journalists and interpreters",15
2015,first-time,Occupations requiring advanced university competence,Natural sciences (research),"Biologists, pharmacologists and agriculture/forestry specialists",19
2015,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Curators and librarians,2
2015,first-time,Occupations requiring advanced university competence,Doctors & dentists,Dentists,6
2015,first-time,Occupations requiring advanced university competence,"Arts, media & culture",Designers,72
2015,first-time,Occupations requiring advanced university competence,Doctors & dentists,Doctors / physicians,34
2015,first-time,Occupations requiring advanced university competence,Engineering professionals,Engineering professionals,709
2015,first-time,Occupations requiring advanced university competence,Natural sciences (research),Environmental and health protection specialists,7
2015,first-time,Occupations requiring advanced university competence,IT & software,"IT architects, developers and test leads",3252
2015,first-time,Occupations requiring advanced university competence,"Business, finance & legal",Lawyers,19
2015,first-time,Occupations requiring advanced university competence,"Sales, retail & marketing",Marketers and communicators,81
2015,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Mathematicians, actuaries and statisticians",4
2015,first-time,Occupations requiring advanced university competence,Nurses & allied health,Nurses,3
2015,first-time,Occupations requiring advanced university competence,"Business, finance & legal","Organisational developers, analysts and HR specialists",71
2015,first-time,Occupations requiring advanced university competence,Nurses & allied health,Other health specialists,5
2015,first-time,Occupations requiring advanced university competence,Education,Other teaching professionals,14
2015,first-time,Occupations requiring advanced university competence,Natural sciences (research),Physicists and chemists,23
2015,first-time,Occupations requiring advanced university competence,Religion & social work,Priests and deacons,17
2015,first-time,Occupations requiring advanced university competence,Education,"Primary, after-school and preschool teachers",158
2015,first-time,Occupations requiring advanced university competence,Nurses & allied health,Psychologists and psychotherapists,1
2015,first-time,Occupations requiring advanced university competence,Education,Secondary education teachers,11
2015,first-time,Occupations requiring advanced university competence,Religion & social work,Social workers and counsellors,3
2015,first-time,Occupations requiring advanced university competence,Total,Total,4751
2015,first-time,Occupations requiring advanced university competence,Education,University and college teachers,53
2015,first-time,Occupations requiring advanced university competence,Education,Vocational teachers,3
2015,first-time,Occupations requiring no special vocational training (SSYK96),"Agriculture, forestry & fisheries","Agriculture, horticulture, forestry and fisheries helpers (SSYK96)",1
2015,first-time,Occupations requiring no special vocational training (SSYK96),Cleaning & building maintenance,Cleaners (SSYK96),28
2015,first-time,Occupations requiring no special vocational training (SSYK96),Transport & logistics,Goods handlers and couriers (SSYK96),1
2015,first-time,Occupations requiring no special vocational training (SSYK96),Manufacturing & factory work,Hand packers and other factory workers,2
2015,first-time,Occupations requiring no special vocational training (SSYK96),Hospitality & food service,Kitchen and restaurant helpers (SSYK96),51
2015,first-time,Occupations requiring no special vocational training (SSYK96),Cleaning & building maintenance,Newspaper carriers and janitors (SSYK96),8
2015,first-time,Occupations requiring no special vocational training (SSYK96),Unknown / other,Other service workers (SSYK96),2
2015,first-time,Occupations requiring no special vocational training (SSYK96),Cleaning & building maintenance,Sanitation and recycling workers (SSYK96),1
